p00,p10,p01,p11,Total Number of Counts
0.12541416,0.87458584,0.0289918896,0.9710081104,49999999
0.1252893073,0.8747106927,0.0288376313,0.9711623687,
0.1253194191,0.8746805809,0.0288213131,0.9711786869,
0.1254292434,0.8745707566,0.0290591642,0.9709408358,
0.1253986661,0.8746013339,0.0288577028,0.9711422972,
0.1255261728,0.8744738272,0.0289113866,0.9710886134,
0.1253899789,0.8746100211,0.0283812193,0.9716187807,
0.1253673509,0.8746326491,0.0283271734,0.9716728266,
0.1254608191,0.8745391809,0.0293193717,0.9706806283,
0.1252175934,0.8747824066,0.0288538088,0.9711461912,
0.1253644921,0.8746355079,0.0291581044,0.9708418956,
0.1253802184,0.8746197816,0.0286999088,0.9713000912,
0.1254035474,0.8745964526,0.028567249,0.971432751,
0.1254016657,0.8745983343,0.0291374377,0.9708625623,
0.1253358928,0.8746641072,0.0286769134,0.9713230866,
0.1253495024,0.8746504976,0.0293100089,0.9706899911,
0.1253486243,0.8746513757,0.0291660147,0.9708339853,
0.1253357223,0.8746642777,0.029308777,0.970691223,
0.125334935,0.874665065,0.0282983391,0.9717016609,
0.1253928806,0.8746071194,0.0293468333,0.9706531667,
0.1253215448,0.8746784552,0.0294097734,0.9705902266,
0.1252794511,0.8747205489,0.0289431883,0.9710568117,
0.1253275625,0.8746724375,0.0284544749,0.9715455251,
0.1252196689,0.8747803311,0.0288142783,0.9711857217,
0.1254571962,0.8745428038,0.0285657431,0.9714342569,
0.1253466639,0.8746533361,0.0290523235,0.9709476765,
0.1254053131,0.8745946869,0.0291823834,0.9708176166,
0.1254201836,0.8745798164,0.0287275208,0.9712724792,
0.1254613814,0.8745386186,0.0290504839,0.9709495161,
0.1254142277,0.8745857723,0.0291612795,0.9708387205,
0.1254954342,0.8745045658,0.0294831193,0.9705168807,
0.1252778095,0.8747221905,0.0290720683,0.9709279317,
0.1253630703,0.8746369297,0.0289238533,0.9710761467,
0.1252593287,0.8747406713,0.0287361158,0.9712638842,
0.1252772499,0.8747227501,0.0282825858,0.9717174142,
0.1254263622,0.8745736378,0.0291925563,0.9708074437,
0.1252657288,0.8747342712,0.0293407099,0.9706592901,
0.125385111,0.874614889,0.0288885159,0.9711114841,
0.1252718643,0.8747281357,0.0290709812,0.9709290188,
0.12545795,0.87454205,0.0291895103,0.9708104897,
0.1254997762,0.8745002238,0.0287632431,0.9712367569,
0.125309639,0.874690361,0.0289061064,0.9710938936,
0.1253225609,0.8746774391,0.0291571161,0.9708428839,
0.1254311039,0.8745688961,0.0286619534,0.9713380466,
0.1253117367,0.8746882633,0.0286641032,0.9713358968,
0.1253929617,0.8746070383,0.0282250901,0.9717749099,
0.1253102679,0.8746897321,0.0285920683,0.9714079317,
0.1254167601,0.8745832399,0.028965639,0.971034361,
0.1254110211,0.8745889789,0.0285430238,0.9714569762,
0.1253204913,0.8746795087,0.0284818858,0.9715181142,
0.1252423852,0.8747576148,0.0289643971,0.9710356029,
0.1253733088,0.8746266912,0.0291899223,0.9708100777,
0.1253529277,0.8746470723,0.0291476428,0.9708523572,
0.1252867515,0.8747132485,0.0288475588,0.9711524412,
0.1253760368,0.8746239632,0.0285293288,0.9714706712,
