p00,p10,p01,p11
0.1253036883,0.8746963117,0.0292330861,0.9707669139
0.1253334408,0.8746665592,0.0291353721,0.9708646279
0.1254395689,0.8745604311,0.029174362,0.970825638
0.1253076055,0.8746923945,0.0285214826,0.9714785174
0.1253670807,0.8746329193,0.0289246427,0.9710753573
0.1253525344,0.8746474656,0.0290705757,0.9709294243
0.1254309614,0.8745690386,0.0291362571,0.9708637429
0.1254704278,0.8745295722,0.0293333607,0.9706666393
0.1251799165,0.8748200835,0.0298603167,0.9701396833
0.1252727814,0.8747272186,0.0292059393,0.9707940607
0.1254005831,0.8745994169,0.0289591271,0.9710408729
0.1253875319,0.8746124681,0.0288491706,0.9711508294
0.1253209892,0.8746790108,0.0290609535,0.9709390465
0.1252945095,0.8747054905,0.028739507,0.971260493
0.1254046498,0.8745953502,0.0291492883,0.9708507117
0.125267438,0.874732562,0.0290547521,0.9709452479
0.1254149077,0.8745850923,0.0285293178,0.9714706822
0.1253470937,0.8746529063,0.0288260228,0.9711739772
0.1253793148,0.8746206852,0.029350795,0.970649205
0.1253233018,0.8746766982,0.0291610288,0.9708389712
0.1253280284,0.8746719716,0.0287786028,0.9712213972
0.1253898716,0.8746101284,0.0287864844,0.9712135156
0.1254035392,0.8745964608,0.029054792,0.970945208
0.1253144104,0.8746855896,0.0296800601,0.9703199399
0.1253398112,0.8746601888,0.0295160054,0.9704839946
0.1253891803,0.8746108197,0.0286109071,0.9713890929
0.12543736,0.87456264,0.0289939337,0.9710060663
0.1254381374,0.8745618626,0.0294190422,0.9705809578
0.1254202558,0.8745797442,0.0288055663,0.9711944337
0.1253236483,0.8746763517,0.0284731512,0.9715268488
0.125411157,0.874588843,0.0288647991,0.9711352009
0.1253777668,0.8746222332,0.0295418316,0.9704581684
0.1254010326,0.8745989674,0.0294363718,0.9705636282
0.1254185104,0.8745814896,0.0290020753,0.9709979247
0.1254230922,0.8745769078,0.0286385293,0.9713614707
0.1254684747,0.8745315253,0.0293065223,0.9706934777
0.1253014553,0.8746985447,0.0287833904,0.9712166096
0.1253762255,0.8746237745,0.0291167757,0.9708832243
0.1255711147,0.8744288853,0.0289285935,0.9710714065
0.1254343416,0.8745656584,0.0288117348,0.9711882652
0.1253337547,0.8746662453,0.0291302603,0.9708697397
0.1253971137,0.8746028863,0.0295014998,0.9704985002
0.1253294452,0.8746705548,0.0289814048,0.9710185952
0.1254189674,0.8745810326,0.0289176323,0.9710823677
0.125405873,0.874594127,0.028941962,0.971058038
0.1254404432,0.8745595568,0.0288508507,0.9711491493
0.1252469189,0.8747530811,0.0290171463,0.9709828537
0.1254394527,0.8745605473,0.0287999013,0.9712000987
0.1253441049,0.8746558951,0.0282182057,0.9717817943
0.1254565831,0.8745434169,0.029135064,0.970864936
0.1255315188,0.8744684812,0.0284445948,0.9715554052
0.1253926797,0.8746073203,0.0294199321,0.9705800679
0.1253417701,0.8746582299,0.0287075438,0.9712924562
0.1253937551,0.8746062449,0.0291012383,0.9708987617
0.1252675243,0.8747324757,0.0291069709,0.9708930291
0.1254016739,0.8745983261,0.0290086234,0.9709913766
0.1253878257,0.8746121743,0.029076066,0.970923934
0.1253967953,0.8746032047,0.0287746024,0.9712253976
0.1253738624,0.8746261376,0.029685039,0.970314961
0.1253916367,0.8746083633,0.0287179118,0.9712820882
0.1253011142,0.8746988858,0.0290005018,0.9709994982
0.1254099163,0.8745900837,0.0288178778,0.9711821222
0.1253100121,0.8746899879,0.0286009026,0.9713990974
0.1253249852,0.8746750148,0.0298437685,0.9701562315
0.1254647648,0.8745352352,0.0284946569,0.9715053431
0.1252619907,0.8747380093,0.0299609317,0.9700390683
0.1253365145,0.8746634855,0.0296237938,0.9703762062
0.1252712609,0.8747287391,0.028967603,0.971032397
0.1252884118,0.8747115882,0.0284855264,0.9715144736
0.1254277594,0.8745722406,0.0287289851,0.9712710149
0.1254023789,0.8745976211,0.0288331404,0.9711668596
0.1253799161,0.8746200839,0.0294465286,0.9705534714
0.1254621737,0.8745378263,0.0298373447,0.9701626553
0.125456814,0.874543186,0.0286533247,0.9713466753
0.1254117659,0.8745882341,0.029286034,0.970713966
0.1254829284,0.8745170716,0.0291361085,0.9708638915
0.1252934842,0.8747065158,0.0287723719,0.9712276281
0.1253161531,0.8746838469,0.0292032437,0.9707967563
0.1252878406,0.8747121594,0.029070753,0.970929247
0.1253228681,0.8746771319,0.0290469235,0.9709530765
0.125374233,0.874625767,0.0291355659,0.9708644341
0.1252840322,0.8747159678,0.0291104872,0.9708895128
0.1254073149,0.8745926851,0.0294415352,0.9705584648
0.1252715462,0.8747284538,0.0294389215,0.9705610785
0.1255245365,0.8744754635,0.029104204,0.970895796
0.1254842946,0.8745157054,0.0291200426,0.9708799574
0.1253094733,0.8746905267,0.0288615356,0.9711384644
0.125311333,0.874688667,0.0288452121,0.9711547879
0.1253963033,0.8746036967,0.0288642371,0.9711357629
0.1253191659,0.8746808341,0.0289259387,0.9710740613
0.1253677637,0.8746322363,0.0290126465,0.9709873535
